注册时间,注册资本,行业,区域,企业类型,控制人类型,控制人持股比例
2014,7170,零售业,福建,有限责任公司,自然人,0.72
2003,6730,零售业,湖北,农民专业合作社,自然人,0.77
2002,640,服务业,湖南,集体所有制企业,企业法人,0.74
2000,2370,交通运输业,湖北,股份有限公司,自然人,0.69
NA,3320,交通运输业,山东,股份有限公司,企业法人,0.89
2001,9900,零售业,湖南,集体所有制企业,自然人,0.67
2000,2200,工业,广东,合伙企业,自然人,0.77
2011,7670,交通运输业,广西,合伙企业,企业法人,0.93
2004,2320,服务业,广东,有限责任公司,企业法人,0.83
2008,1920,商业服务业,山东,股份有限公司,企业法人,0.86
2001,9240,服务业,江西,农民专业合作社,企业法人,0.53
2007,8980,服务业,广东,合伙企业,自然人,0.69
2006,1420,零售业,广西,股份有限公司,企业法人,0.58
2004,5800,交通运输业,福建,集体所有制企业,自然人,0.86
2007,6760,社区服务,江西,有限责任公司,自然人,0.94
2014,1480,交通运输业,江西,集体所有制企业,自然人,0.99
2001,6790,服务业,山东,NA,自然人,0.59
2011,720,工业,福建,农民专业合作社,自然人,0.59
2011,5020,社区服务,山东,有限责任公司,企业法人,0.54
2006,3780,服务业,江西,集体所有制企业,自然人,0.79
2013,7300,零售业,广东,股份有限公司,自然人,0.51
2014,9120,零售业,湖北,股份有限公司,企业法人,0.74
2013,6490,社区服务,江西,有限责任公司,自然人,0.6
2013,5590,社区服务,福建,有限责任公司,企业法人,0.52
2002,270,交通运输业,福建,合伙企业,自然人,0.71
2011,5530,交通运输业,湖南,股份有限公司,自然人,0.74
2004,2790,社区服务,广东,合伙企业,企业法人,0.64
2012,1410,零售业,湖北,农民专业合作社,自然人,0.82
2008,370,交通运输业,广东,有限责任公司,自然人,0.52
2001,540,社区服务,江西,集体所有制企业,自然人,0.92
2005,590,交通运输业,江西,合伙企业,自然人,0.92
2006,9620,社区服务,湖南,合伙企业,自然人,0.99
2008,5500,商业服务业,湖南,股份有限公司,自然人,1
2013,7600,工业,福建,集体所有制企业,自然人,0.52
2006,8460,服务业,湖南,农民专业合作社,自然人,0.53
2010,4630,社区服务,福建,农民专业合作社,自然人,0.77
2005,3790,工业,山东,股份有限公司,企业法人,0.67
2010,7090,零售业,山东,农民专业合作社,企业法人,0.58
2011,6120,社区服务,湖北,合伙企业,自然人,0.73
2003,2750,交通运输业,江西,股份有限公司,自然人,0.86
2008,1520,商业服务业,广东,有限责任公司,企业法人,0.73
2007,3170,零售业,广东,股份有限公司,企业法人,0.8
2005,4910,交通运输业,福建,集体所有制企业,企业法人,0.85
2012,390,社区服务,湖北,有限责任公司,自然人,0.83
2002,7810,零售业,江西,有限责任公司,企业法人,0.75
2005,5510,商业服务业,湖北,股份有限公司,自然人,0.56
2010,9430,工业,湖北,合伙企业,企业法人,0.72
2006,440,交通运输业,山东,有限责任公司,企业法人,0.99
2003,7710,交通运输业,山东,农民专业合作社,自然人,0.98
2012,6580,社区服务,广东,股份有限公司,企业法人,0.56
2002,730,工业,福建,股份有限公司,自然人,0.65
2003,4730,服务业,广东,农民专业合作社,自然人,0.53
2010,8420,交通运输业,广西,合伙企业,NA,0.76
2004,2690,零售业,江西,农民专业合作社,企业法人,0.68
2002,8490,服务业,福建,集体所有制企业,企业法人,0.58
2006,7390,商业服务业,广西,集体所有制企业,自然人,0.67
2000,6520,社区服务,广东,集体所有制企业,企业法人,0.76
2001,5720,工业,广西,合伙企业,企业法人,0.54
2002,1800,交通运输业,NA,农民专业合作社,企业法人,0.58
2006,7960,零售业,山东,合伙企业,企业法人,0.85
2012,7690,交通运输业,湖北,有限责任公司,自然人,0.95
NA,3450,服务业,福建,农民专业合作社,企业法人,0.91
2007,3220,工业,湖北,合伙企业,自然人,0.96
2005,6170,工业,山东,农民专业合作社,企业法人,0.78
2008,7540,商业服务业,山东,有限责任公司,企业法人,0.69
2001,9420,商业服务业,江西,有限责任公司,自然人,0.77
2002,1220,社区服务,NA,集体所有制企业,NA,0.52
2005,5500,交通运输业,江西,农民专业合作社,企业法人,0.58
2001,4650,社区服务,广西,合伙企业,自然人,0.82
2009,790,交通运输业,山东,农民专业合作社,企业法人,0.99
2011,1640,零售业,山东,农民专业合作社,企业法人,0.54
NA,3250,零售业,广东,集体所有制企业,自然人,0.98
2001,8640,工业,湖南,集体所有制企业,企业法人,0.82
2006,2330,工业,山东,农民专业合作社,自然人,0.87
2008,1630,工业,山东,股份有限公司,自然人,0.99
2000,4570,零售业,广西,农民专业合作社,企业法人,0.8
2002,8700,工业,广东,农民专业合作社,自然人,0.86
2001,7470,商业服务业,湖南,有限责任公司,企业法人,0.91
2005,2330,工业,湖南,合伙企业,企业法人,0.91
2013,2230,服务业,广东,集体所有制企业,企业法人,0.62
2001,7790,服务业,湖南,合伙企业,自然人,0.52
2003,4470,商业服务业,福建,合伙企业,企业法人,0.68
2009,8380,商业服务业,江西,合伙企业,自然人,0.54
2004,6930,商业服务业,广东,股份有限公司,自然人,0.71
2001,2240,交通运输业,湖北,集体所有制企业,自然人,0.92
2004,9330,商业服务业,山东,股份有限公司,自然人,0.52
2001,8240,工业,湖北,有限责任公司,自然人,0.68
2014,4180,商业服务业,广东,农民专业合作社,NA,0.97
2008,1760,交通运输业,广东,有限责任公司,自然人,0.65
2003,4570,交通运输业,江西,股份有限公司,企业法人,0.55
2001,5810,社区服务,湖北,股份有限公司,企业法人,0.81
2008,3810,商业服务业,湖南,集体所有制企业,自然人,0.77
2014,5170,工业,广西,农民专业合作社,企业法人,0.55
2010,5850,零售业,江西,农民专业合作社,企业法人,0.71
2006,7870,交通运输业,江西,合伙企业,自然人,0.51
2002,8600,零售业,广东,集体所有制企业,自然人,0.63
2010,3910,零售业,广东,集体所有制企业,自然人,0.66
2002,460,交通运输业,广西,股份有限公司,企业法人,0.83
2000,7500,工业,广西,合伙企业,自然人,0.75
2010,1190,零售业,湖北,集体所有制企业,自然人,0.53
2008,3180,商业服务业,江西,集体所有制企业,自然人,0.99
2005,7320,零售业,山东,农民专业合作社,企业法人,0.55
2004,8650,服务业,山东,股份有限公司,自然人,0.66
2001,8940,交通运输业,福建,合伙企业,企业法人,0.57
2003,9630,交通运输业,山东,合伙企业,企业法人,0.58
2002,2860,社区服务,江西,合伙企业,企业法人,0.88
2007,6230,服务业,江西,集体所有制企业,企业法人,0.88
2008,6550,工业,广东,集体所有制企业,自然人,0.53
2014,1200,社区服务,广西,合伙企业,企业法人,0.93
2005,270,社区服务,江西,股份有限公司,自然人,0.99
2000,5860,服务业,湖南,有限责任公司,自然人,0.8
2008,5460,服务业,广东,股份有限公司,自然人,0.81
2006,4490,社区服务,福建,股份有限公司,企业法人,0.95
2012,3100,NA,湖南,有限责任公司,自然人,0.93
2014,1190,商业服务业,广东,集体所有制企业,自然人,0.68
2010,2640,交通运输业,广东,合伙企业,自然人,0.74
2000,7480,社区服务,湖南,股份有限公司,企业法人,0.78
2000,7370,交通运输业,广西,合伙企业,NA,0.72
2012,4050,工业,广东,合伙企业,自然人,0.7
2007,910,商业服务业,广西,有限责任公司,自然人,0.82
2003,2870,社区服务,江西,股份有限公司,企业法人,0.52
2014,5420,服务业,福建,集体所有制企业,自然人,0.75
2000,2760,交通运输业,江西,有限责任公司,企业法人,0.64
2002,6790,工业,江西,集体所有制企业,自然人,0.98
2007,3300,服务业,湖北,合伙企业,自然人,0.58
2000,8730,零售业,湖南,农民专业合作社,自然人,0.7
2013,7730,服务业,福建,股份有限公司,企业法人,0.53
2002,2130,社区服务,广东,集体所有制企业,企业法人,0.69
2000,5590,交通运输业,山东,股份有限公司,自然人,0.96
2005,3560,交通运输业,湖北,股份有限公司,自然人,0.95
2012,3210,商业服务业,福建,股份有限公司,自然人,0.62
2009,4350,零售业,山东,农民专业合作社,自然人,0.62
2003,4290,工业,广西,集体所有制企业,自然人,0.52
2006,7470,零售业,广西,集体所有制企业,企业法人,0.76
2004,2990,交通运输业,湖北,农民专业合作社,自然人,0.85
2010,8730,工业,广西,NA,自然人,0.82
2003,4310,交通运输业,福建,股份有限公司,自然人,0.53
2005,4320,工业,福建,集体所有制企业,自然人,0.73
2004,2030,工业,湖北,农民专业合作社,自然人,0.84
2012,9500,零售业,湖南,有限责任公司,自然人,0.67
2004,310,商业服务业,山东,股份有限公司,企业法人,0.52
2001,1150,社区服务,广西,农民专业合作社,自然人,0.86
2002,5560,服务业,广西,农民专业合作社,企业法人,0.62
2007,2460,商业服务业,湖北,农民专业合作社,自然人,0.99
2002,2710,工业,广东,集体所有制企业,自然人,0.9
2002,1910,交通运输业,湖北,农民专业合作社,自然人,0.93
2000,890,零售业,福建,股份有限公司,企业法人,0.92
2010,2700,商业服务业,广东,NA,企业法人,1
2005,2740,零售业,山东,有限责任公司,企业法人,0.69
2001,9990,工业,山东,集体所有制企业,企业法人,0.98
2000,9820,零售业,广东,集体所有制企业,企业法人,0.64
2002,2580,社区服务,福建,有限责任公司,自然人,1
2001,6640,商业服务业,广东,股份有限公司,企业法人,0.7
2012,4380,商业服务业,湖南,农民专业合作社,企业法人,0.74
2011,5330,社区服务,湖北,有限责任公司,自然人,0.61
2013,8510,交通运输业,福建,股份有限公司,自然人,0.77
2011,470,零售业,山东,集体所有制企业,企业法人,0.93
2004,6200,商业服务业,广东,农民专业合作社,自然人,0.84
2014,8540,商业服务业,广西,集体所有制企业,企业法人,0.55
2011,2230,零售业,湖南,农民专业合作社,企业法人,0.71
2012,3830,商业服务业,广东,有限责任公司,企业法人,0.81
2002,9290,零售业,湖北,合伙企业,自然人,0.82
2003,8170,服务业,湖北,集体所有制企业,企业法人,0.84
2000,6500,服务业,湖南,集体所有制企业,自然人,0.68
2009,7650,零售业,湖南,有限责任公司,自然人,0.65
2006,4710,零售业,山东,农民专业合作社,自然人,0.65
2012,9310,商业服务业,广西,集体所有制企业,自然人,0.55
2010,8670,交通运输业,广西,集体所有制企业,自然人,0.6
2009,6600,服务业,广西,股份有限公司,自然人,0.87
2012,5750,服务业,广西,合伙企业,自然人,0.65
2008,8380,服务业,湖南,股份有限公司,自然人,0.63
2013,3530,服务业,福建,农民专业合作社,自然人,0.78
2010,9030,交通运输业,福建,合伙企业,自然人,0.72
2014,5450,服务业,湖南,合伙企业,自然人,0.85
2008,4540,交通运输业,福建,有限责任公司,自然人,0.66
2010,2060,服务业,湖南,有限责任公司,自然人,0.85
2003,3020,商业服务业,福建,集体所有制企业,自然人,0.58
2007,5790,社区服务,福建,合伙企业,自然人,0.61
2003,8500,社区服务,广西,有限责任公司,企业法人,0.85
2009,8040,NA,湖北,合伙企业,企业法人,0.9
2010,5720,商业服务业,广西,股份有限公司,企业法人,0.59
2013,8890,零售业,山东,股份有限公司,自然人,0.74
2000,3000,社区服务,山东,农民专业合作社,自然人,0.84
2010,3820,社区服务,山东,集体所有制企业,自然人,0.55
2000,8800,服务业,广东,有限责任公司,企业法人,0.71
2009,2960,服务业,广西,集体所有制企业,企业法人,0.9
2003,7220,交通运输业,湖南,有限责任公司,自然人,0.94
2010,5190,商业服务业,广西,股份有限公司,企业法人,0.65
2004,5580,工业,NA,股份有限公司,企业法人,0.54
2014,350,社区服务,湖南,股份有限公司,企业法人,0.92
2013,570,零售业,湖南,合伙企业,企业法人,0.69
2012,2780,交通运输业,广东,合伙企业,自然人,0.56
2011,7100,社区服务,江西,合伙企业,自然人,0.52
2001,5770,商业服务业,湖北,合伙企业,企业法人,0.83
NA,9270,交通运输业,福建,农民专业合作社,企业法人,0.52
2013,9930,商业服务业,广东,股份有限公司,企业法人,0.73
2005,8630,社区服务,山东,合伙企业,企业法人,0.94
2002,6350,社区服务,湖北,集体所有制企业,自然人,0.69
2012,1230,交通运输业,广东,合伙企业,自然人,0.58
2009,2510,工业,江西,农民专业合作社,企业法人,0.62
2010,3960,交通运输业,山东,合伙企业,企业法人,0.75
2013,9380,工业,广东,农民专业合作社,企业法人,0.67
2005,5670,商业服务业,福建,集体所有制企业,自然人,0.81
2007,3630,社区服务,广东,股份有限公司,自然人,0.81
2004,9620,商业服务业,广西,合伙企业,企业法人,0.63
2007,1440,商业服务业,湖北,合伙企业,自然人,0.66
2013,4310,商业服务业,湖南,农民专业合作社,企业法人,0.95
2006,3680,商业服务业,广东,股份有限公司,自然人,0.84
2007,4670,零售业,广西,合伙企业,企业法人,0.52
2011,1370,零售业,福建,农民专业合作社,企业法人,0.7
2005,2960,交通运输业,山东,农民专业合作社,企业法人,0.52
2007,100,零售业,湖北,股份有限公司,自然人,0.92
2010,180,工业,福建,集体所有制企业,自然人,0.51
2011,3730,社区服务,湖南,有限责任公司,自然人,0.98
2002,2850,交通运输业,广西,股份有限公司,企业法人,0.87
2001,3500,商业服务业,广西,集体所有制企业,自然人,0.57
2013,7410,交通运输业,湖北,农民专业合作社,自然人,0.94
2001,3020,零售业,江西,股份有限公司,企业法人,0.82
2005,3240,服务业,江西,股份有限公司,自然人,0.91
2007,7780,零售业,湖北,合伙企业,企业法人,0.72
2006,5240,零售业,湖南,集体所有制企业,自然人,0.93
2002,6730,社区服务,江西,股份有限公司,企业法人,0.96
2007,3550,商业服务业,山东,农民专业合作社,自然人,0.52
2000,2940,社区服务,山东,合伙企业,企业法人,0.69
2012,9470,商业服务业,山东,农民专业合作社,自然人,0.65
2007,4190,社区服务,广西,有限责任公司,自然人,0.97
2007,5000,社区服务,广东,集体所有制企业,企业法人,0.74
2005,3680,社区服务,广西,集体所有制企业,自然人,0.84
2004,1330,工业,湖北,农民专业合作社,企业法人,0.53
2009,8930,商业服务业,广东,有限责任公司,企业法人,0.53
2004,2640,服务业,广东,有限责任公司,自然人,0.76
2011,2490,商业服务业,山东,农民专业合作社,自然人,0.67
2012,8420,交通运输业,湖北,合伙企业,自然人,0.57
2002,4270,零售业,湖北,集体所有制企业,企业法人,0.71
2006,NA,工业,江西,集体所有制企业,企业法人,0.91
2007,1140,社区服务,湖北,股份有限公司,自然人,1
2010,6620,商业服务业,江西,农民专业合作社,自然人,0.85
2003,1090,商业服务业,江西,有限责任公司,企业法人,0.84
2006,4490,社区服务,广西,农民专业合作社,自然人,0.82
2010,1000,工业,江西,集体所有制企业,企业法人,0.8
2010,3020,服务业,山东,集体所有制企业,企业法人,0.6
2006,7170,工业,广西,农民专业合作社,自然人,0.8
2001,5830,工业,山东,合伙企业,企业法人,0.82
NA,5630,服务业,福建,股份有限公司,自然人,0.55
2001,2030,交通运输业,湖南,农民专业合作社,企业法人,0.54
2002,1840,工业,湖南,合伙企业,自然人,0.86
2005,5090,工业,广东,有限责任公司,自然人,0.92
2002,8430,零售业,山东,股份有限公司,企业法人,0.8
2008,1960,工业,广西,合伙企业,自然人,0.67
2003,630,交通运输业,广西,有限责任公司,自然人,0.8
2006,440,商业服务业,湖南,农民专业合作社,企业法人,0.86
2000,4030,商业服务业,福建,股份有限公司,自然人,0.68
2011,1450,服务业,福建,有限责任公司,企业法人,0.84
2004,5870,工业,湖南,合伙企业,自然人,0.6
2004,3100,社区服务,湖北,农民专业合作社,自然人,0.92
2014,8130,服务业,广东,合伙企业,自然人,0.9
2012,9670,服务业,湖北,股份有限公司,企业法人,0.86
2014,2460,商业服务业,湖北,有限责任公司,自然人,0.61
2005,7300,社区服务,江西,合伙企业,企业法人,0.87
2013,8500,交通运输业,湖南,集体所有制企业,企业法人,0.53
2006,770,工业,湖南,集体所有制企业,企业法人,0.66
2013,3970,服务业,NA,股份有限公司,企业法人,0.99
2002,3830,服务业,湖北,农民专业合作社,自然人,0.85
2010,8170,服务业,江西,股份有限公司,自然人,0.66
2001,4870,商业服务业,广西,合伙企业,自然人,0.76
2003,3050,服务业,福建,股份有限公司,自然人,0.53
2004,9350,服务业,山东,合伙企业,自然人,0.97
2009,9560,社区服务,湖南,农民专业合作社,企业法人,0.89
2002,5730,社区服务,湖南,农民专业合作社,企业法人,0.95
2004,9880,商业服务业,福建,股份有限公司,企业法人,0.89
2014,1320,商业服务业,山东,有限责任公司,自然人,NA
2008,1590,服务业,湖南,集体所有制企业,自然人,0.76
2011,2580,交通运输业,湖南,集体所有制企业,企业法人,0.56
2008,8820,商业服务业,江西,股份有限公司,自然人,0.96
2012,5890,服务业,湖南,集体所有制企业,企业法人,0.91
2004,7130,零售业,湖北,有限责任公司,企业法人,0.9
2013,9640,社区服务,广西,有限责任公司,企业法人,0.82
2007,9070,服务业,山东,农民专业合作社,自然人,0.54
2004,9860,交通运输业,广东,集体所有制企业,企业法人,0.52
2001,2410,服务业,广东,集体所有制企业,企业法人,0.66
2009,2300,工业,广东,合伙企业,企业法人,0.88
2004,180,社区服务,山东,集体所有制企业,企业法人,0.93
2001,9620,零售业,广西,股份有限公司,自然人,0.88
2000,9160,商业服务业,湖北,集体所有制企业,自然人,0.93
2003,6770,商业服务业,广东,股份有限公司,自然人,0.83
2002,7950,零售业,山东,有限责任公司,自然人,0.89
2009,250,工业,山东,合伙企业,企业法人,0.75
2003,9750,商业服务业,广西,有限责任公司,企业法人,0.69
2007,6770,交通运输业,山东,集体所有制企业,企业法人,0.97
2003,9490,工业,湖南,合伙企业,自然人,0.75
2000,220,商业服务业,山东,集体所有制企业,企业法人,0.86
2003,5720,NA,江西,合伙企业,企业法人,0.73
2013,2660,零售业,湖北,合伙企业,企业法人,0.79
2008,2460,社区服务,湖北,农民专业合作社,自然人,0.8
2014,7000,商业服务业,湖北,合伙企业,企业法人,0.59
2014,300,服务业,广东,股份有限公司,企业法人,0.54
NA,1310,工业,江西,股份有限公司,企业法人,0.92
2009,5310,零售业,广东,股份有限公司,企业法人,0.84
2013,4360,零售业,湖南,合伙企业,自然人,0.52
2005,8630,商业服务业,湖北,合伙企业,自然人,0.8
2001,6020,服务业,湖南,有限责任公司,企业法人,0.88
2006,7490,零售业,江西,农民专业合作社,自然人,1
2008,7870,服务业,湖北,有限责任公司,自然人,0.95
2006,3740,服务业,湖南,合伙企业,自然人,0.68
2014,2570,工业,广西,集体所有制企业,企业法人,0.69
2011,7580,工业,广西,合伙企业,企业法人,0.85
2006,3990,工业,江西,集体所有制企业,自然人,0.82
2001,260,服务业,福建,集体所有制企业,企业法人,0.56
2001,1360,工业,山东,股份有限公司,自然人,0.52
2004,2880,交通运输业,湖南,股份有限公司,企业法人,0.55
2011,4230,社区服务,江西,股份有限公司,企业法人,0.68
2013,890,服务业,湖南,有限责任公司,自然人,0.67
2013,1490,服务业,广西,合伙企业,自然人,0.77
2006,2820,商业服务业,湖北,有限责任公司,自然人,0.69
2010,5040,零售业,广东,集体所有制企业,自然人,0.87
2013,6380,零售业,湖南,农民专业合作社,企业法人,0.81
2005,9090,工业,江西,有限责任公司,自然人,0.91
NA,2200,服务业,湖南,农民专业合作社,企业法人,0.64
2012,6450,交通运输业,福建,农民专业合作社,企业法人,0.81
2007,1070,交通运输业,湖北,股份有限公司,企业法人,0.76
2007,1980,交通运输业,广西,集体所有制企业,自然人,0.64
2006,200,工业,广东,有限责任公司,企业法人,0.73
2003,5250,商业服务业,广西,有限责任公司,企业法人,0.93
2003,7460,社区服务,广东,股份有限公司,自然人,0.64
2007,5710,商业服务业,广西,股份有限公司,自然人,0.83
2002,7800,社区服务,江西,股份有限公司,自然人,0.57
2004,5260,零售业,湖北,集体所有制企业,自然人,0.62
2008,9460,交通运输业,湖北,集体所有制企业,企业法人,0.55
2005,1960,商业服务业,湖南,合伙企业,自然人,0.81
2009,9460,零售业,湖南,集体所有制企业,自然人,0.87
2011,2800,服务业,福建,农民专业合作社,自然人,0.53
2003,760,零售业,湖南,农民专业合作社,自然人,0.52
2010,2390,工业,湖北,股份有限公司,企业法人,0.63
2002,6150,商业服务业,湖北,农民专业合作社,自然人,0.68
2014,1530,零售业,湖南,有限责任公司,自然人,1
